VOI_mesh.GetPoint(j, VOIPnt)
pixId = post_transformed_image.FindPoint(VOIPnt[0], VOIPnt[1], VOIPnt[2])
post_transformed_image.GetPoint(pixId,im_pt)

[-50.6066, 11.339700000000022, -98.0]
[-50.17689999999999, 11.339700000000022, -98.0]
[-49.74719999999999, 11.339700000000022, -98.0]
[-49.317499999999995, 11.339700000000022, -98.0]
[-48.8878, 11.339700000000022, -98.0]
[-48.45809999999999, 11.339700000000022, -98.0]
[-52.7551, 11.769400000000019, -98.0]
[-52.32539999999999, 11.769400000000019, -98.0]
[-51.89569999999999, 11.769400000000019, -98.0]
[-51.465999999999994, 11.769400000000019, -98.0]
[-51.0363, 11.769400000000019, -98.0]
[-50.6066, 11.769400000000019, -98.0]
[-50.17689999999999, 11.769400000000019, -98.0]
[-49.74719999999999, 11.769400000000019, -98.0]
[-49.317499999999995, 11.769400000000019, -98.0]
[-48.8878, 11.769400000000019, -98.0]
[-48.45809999999999, 11.769400000000019, -98.0]
[-48.02839999999999, 11.769400000000019, -98.0]
[-56.6224, 12.199100000000016, -98.0]
[-56.19269999999999, 12.199100000000016, -98.0]
[-55.76299999999999, 12.199100000000016, -98.0]
[-53.184799999999996, 12.199100000000016, -98.0]
[-52.7551, 12.199100000000016, -98.0]
[-52.32539999999999, 12.199100000000016, -98.0]
[-51.89569999999999, 12.199100000000016, -98.0]
[-51.465999999999994, 12.199100000000016, -98.0]
[-51.0363, 12.199100000000016, -98.0]
[-50.6066, 12.199100000000016, -98.0]
[-50.17689999999999, 12.199100000000016, -98.0]
[-49.74719999999999, 12.199100000000016, -98.0]
[-49.317499999999995, 12.199100000000016, -98.0]
[-48.8878, 12.199100000000016, -98.0]
[-48.45809999999999, 12.199100000000016, -98.0]
[-48.02839999999999, 12.199100000000016, -98.0]
[-56.6224, 12.628800000000012, -98.0]
[-56.19269999999999, 12.628800000000012, -98.0]
[-55.76299999999999, 12.628800000000012, -98.0]
[-55.333299999999994, 12.628800000000012, -98.0]
[-53.61449999999999, 12.628800000000012, -98.0]
[-53.184799999999996, 12.628800000000012, -98.0]
[-52.7551, 12.628800000000012, -98.0]
[-52.32539999999999, 12.628800000000012, -98.0]
[-51.89569999999999, 12.628800000000012, -98.0]
[-51.465999999999994, 12.628800000000012, -98.0]
[-51.0363, 12.628800000000012, -98.0]
[-50.6066, 12.628800000000012, -98.0]
[-50.17689999999999, 12.628800000000012, -98.0]
[-49.74719999999999, 12.628800000000012, -98.0]
[-49.317499999999995, 12.628800000000012, -98.0]
[-48.8878, 12.628800000000012, -98.0]
[-48.45809999999999, 12.628800000000012, -98.0]
[-48.02839999999999, 12.628800000000012, -98.0]
[-56.19269999999999, 13.05850000000001, -98.0]
[-55.76299999999999, 13.05850000000001, -98.0]
[-55.333299999999994, 13.05850000000001, -98.0]
[-54.9036, 13.05850000000001, -98.0]
[-53.61449999999999, 13.05850000000001, -98.0]
[-53.184799999999996, 13.05850000000001, -98.0]
[-52.7551, 13.05850000000001, -98.0]
[-52.32539999999999, 13.05850000000001, -98.0]
[-51.89569999999999, 13.05850000000001, -98.0]
[-51.465999999999994, 13.05850000000001, -98.0]
[-51.0363, 13.05850000000001, -98.0]
[-50.6066, 13.05850000000001, -98.0]
[-50.17689999999999, 13.05850000000001, -98.0]
[-49.74719999999999, 13.05850000000001, -98.0]
[-49.317499999999995, 13.05850000000001, -98.0]
[-48.8878, 13.05850000000001, -98.0]
[-48.45809999999999, 13.05850000000001, -98.0]
[-48.02839999999999, 13.05850000000001, -98.0]
[-47.598699999999994, 13.05850000000001, -98.0]
[-55.76299999999999, 13.488200000000006, -98.0]
[-55.333299999999994, 13.488200000000006, -98.0]
[-54.9036, 13.488200000000006, -98.0]
[-53.61449999999999, 13.488200000000006, -98.0]
[-53.184799999999996, 13.488200000000006, -98.0]
[-52.7551, 13.488200000000006, -98.0]
[-52.32539999999999, 13.488200000000006, -98.0]
[-51.89569999999999, 13.488200000000006, -98.0]
[-51.465999999999994, 13.488200000000006, -98.0]
[-51.0363, 13.488200000000006, -98.0]
[-50.6066, 13.488200000000006, -98.0]
[-50.17689999999999, 13.488200000000006, -98.0]
[-49.74719999999999, 13.488200000000006, -98.0]
[-49.317499999999995, 13.488200000000006, -98.0]
[-48.8878, 13.488200000000006, -98.0]
[-48.45809999999999, 13.488200000000006, -98.0]
[-48.02839999999999, 13.488200000000006, -98.0]
[-47.598699999999994, 13.488200000000006, -98.0]
[-47.169, 13.488200000000006, -98.0]
[-53.61449999999999, 13.917900000000003, -98.0]
[-53.184799999999996, 13.917900000000003, -98.0]
[-52.7551, 13.917900000000003, -98.0]
[-52.32539999999999, 13.917900000000003, -98.0]
[-51.89569999999999, 13.917900000000003, -98.0]
[-51.465999999999994, 13.917900000000003, -98.0]
[-51.0363, 13.917900000000003, -98.0]
[-50.6066, 13.917900000000003, -98.0]
[-50.17689999999999, 13.917900000000003, -98.0]
[-49.74719999999999, 13.917900000000003, -98.0]
[-49.317499999999995, 13.917900000000003, -98.0]
[-48.8878, 13.917900000000003, -98.0]
[-48.45809999999999, 13.917900000000003, -98.0]
[-48.02839999999999, 13.917900000000003, -98.0]
[-47.598699999999994, 13.917900000000003, -98.0]
[-47.169, 13.917900000000003, -98.0]
[-46.7393, 13.917900000000003, -98.0]
[-53.61449999999999, 14.3476, -98.0]
[-53.184799999999996, 14.3476, -98.0]
[-52.7551, 14.3476, -98.0]
[-52.32539999999999, 14.3476, -98.0]
[-51.89569999999999, 14.3476, -98.0]
[-51.465999999999994, 14.3476, -98.0]
[-51.0363, 14.3476, -98.0]
[-50.6066, 14.3476, -98.0]
[-50.17689999999999, 14.3476, -98.0]
[-49.74719999999999, 14.3476, -98.0]
[-49.317499999999995, 14.3476, -98.0]
[-48.8878, 14.3476, -98.0]
[-48.45809999999999, 14.3476, -98.0]
[-48.02839999999999, 14.3476, -98.0]
[-47.598699999999994, 14.3476, -98.0]
[-47.169, 14.3476, -98.0]
[-46.7393, 14.3476, -98.0]
[-46.30959999999999, 14.3476, -98.0]
[-56.6224, 14.777299999999997, -98.0]
[-53.61449999999999, 14.777299999999997, -98.0]
[-53.184799999999996, 14.777299999999997, -98.0]
[-52.7551, 14.777299999999997, -98.0]
[-52.32539999999999, 14.777299999999997, -98.0]
[-51.89569999999999, 14.777299999999997, -98.0]
[-51.465999999999994, 14.777299999999997, -98.0]
[-51.0363, 14.777299999999997, -98.0]
[-50.6066, 14.777299999999997, -98.0]
[-50.17689999999999, 14.777299999999997, -98.0]
[-49.74719999999999, 14.777299999999997, -98.0]
[-49.317499999999995, 14.777299999999997, -98.0]
[-48.8878, 14.777299999999997, -98.0]
[-48.45809999999999, 14.777299999999997, -98.0]
[-48.02839999999999, 14.777299999999997, -98.0]
[-47.598699999999994, 14.777299999999997, -98.0]
[-47.169, 14.777299999999997, -98.0]
[-46.7393, 14.777299999999997, -98.0]
[-46.30959999999999, 14.777299999999997, -98.0]
[-56.6224, 15.207000000000022, -98.0]
[-56.19269999999999, 15.207000000000022, -98.0]
[-54.04419999999999, 15.207000000000022, -98.0]
[-53.61449999999999, 15.207000000000022, -98.0]
[-53.184799999999996, 15.207000000000022, -98.0]
[-52.7551, 15.207000000000022, -98.0]
[-52.32539999999999, 15.207000000000022, -98.0]
[-51.89569999999999, 15.207000000000022, -98.0]
[-51.465999999999994, 15.207000000000022, -98.0]
[-51.0363, 15.207000000000022, -98.0]
[-50.6066, 15.207000000000022, -98.0]
[-50.17689999999999, 15.207000000000022, -98.0]
[-49.74719999999999, 15.207000000000022, -98.0]
[-49.317499999999995, 15.207000000000022, -98.0]
[-48.8878, 15.207000000000022, -98.0]
[-48.45809999999999, 15.207000000000022, -98.0]
[-48.02839999999999, 15.207000000000022, -98.0]
[-47.598699999999994, 15.207000000000022, -98.0]
[-47.169, 15.207000000000022, -98.0]
[-46.7393, 15.207000000000022, -98.0]
[-46.30959999999999, 15.207000000000022, -98.0]
[-45.87989999999999, 15.207000000000022, -98.0]
[-56.6224, 15.636700000000019, -98.0]
[-56.19269999999999, 15.636700000000019, -98.0]
[-54.04419999999999, 15.636700000000019, -98.0]
[-53.61449999999999, 15.636700000000019, -98.0]
[-53.184799999999996, 15.636700000000019, -98.0]
[-52.7551, 15.636700000000019, -98.0]
[-52.32539999999999, 15.636700000000019, -98.0]
[-51.89569999999999, 15.636700000000019, -98.0]
[-51.465999999999994, 15.636700000000019, -98.0]
[-51.0363, 15.636700000000019, -98.0]
[-50.6066, 15.636700000000019, -98.0]
[-50.17689999999999, 15.636700000000019, -98.0]
[-49.74719999999999, 15.636700000000019, -98.0]
[-49.317499999999995, 15.636700000000019, -98.0]
[-48.8878, 15.636700000000019, -98.0]
[-48.45809999999999, 15.636700000000019, -98.0]
[-48.02839999999999, 15.636700000000019, -98.0]
[-47.598699999999994, 15.636700000000019, -98.0]
[-47.169, 15.636700000000019, -98.0]
[-46.7393, 15.636700000000019, -98.0]
[-46.30959999999999, 15.636700000000019, -98.0]
[-45.87989999999999, 15.636700000000019, -98.0]
[-54.4739, 16.066400000000016, -98.0]
[-54.04419999999999, 16.066400000000016, -98.0]
[-53.61449999999999, 16.066400000000016, -98.0]
[-53.184799999999996, 16.066400000000016, -98.0]
[-52.7551, 16.066400000000016, -98.0]
[-52.32539999999999, 16.066400000000016, -98.0]
[-51.89569999999999, 16.066400000000016, -98.0]
[-51.465999999999994, 16.066400000000016, -98.0]
[-51.0363, 16.066400000000016, -98.0]
[-50.6066, 16.066400000000016, -98.0]
[-50.17689999999999, 16.066400000000016, -98.0]
[-49.74719999999999, 16.066400000000016, -98.0]
[-49.317499999999995, 16.066400000000016, -98.0]
[-48.8878, 16.066400000000016, -98.0]
[-48.45809999999999, 16.066400000000016, -98.0]
[-48.02839999999999, 16.066400000000016, -98.0]
[-47.598699999999994, 16.066400000000016, -98.0]
[-47.169, 16.066400000000016, -98.0]
[-46.7393, 16.066400000000016, -98.0]
